Iteration, Processing_Time, Distance, Area, LoopClosures, Current Error 
1, 29.077, 0.817015, 15.555, 3, 0.0260448
2, 53.184, 1.06826, 15.5525, 3, 0.0571494
3, 54.711, 1.42182, 15.575, 3, 0.0726338
4, 54.458, 1.67182, 16.04, 3, 0.0773886
5, 30.908, 1.8982, 16.04, 3, 0.117317
6, 34.118, 2.2232, 16.9275, 3, 0.0770816
7, 53.687, 2.4232, 16.7775, 3, 0.1375
8, 61.757, 2.67445, 17.7525, 3, 0.104875
9, 48.036, 2.96706, 18.3325, 3, 0.0835589
10, 68.598, 3.16862, 18.3325, 3, 0.187202
11, 37.004, 3.38222, 18.3325, 3, 0.281526
12, 55.878, 3.61711, 18.32, 4, 0.186317
13, 41.178, 3.84046, 18.32, 5, 0.170941
14, 65.302, 4.03085, 18.32, 5, 0.238621
15, 60.754, 4.26134, 18.32, 5, 0.209159
16, 40.679, 4.5815, 19.1375, 5, 0.0725628
17, 65.399, 4.9631, 26.745, 5, 0.0995827
18, 39.466, 5.29193, 29.13, 5, 0.0998686
19, 66.03, 5.54193, 30.5425, 5, 0.147112
20, 65.603, 5.87547, 33.74, 5, 0.14145
21, 65.526, 6.13042, 35.6225, 5, 0.184838
22, 66.469, 6.46396, 37.13, 5, 0.184101
23, 52.912, 6.76396, 38.33, 5, 0.189215
24, 46.196, 7.09278, 39.915, 5, 0.223332
25, 48.081, 7.41778, 41.0925, 5, 0.213219
26, 69.089, 7.61778, 41.4375, 5, 0.244606
27, 68.434, 7.89392, 42.7925, 5, 0.255228
28, 57.283, 8.26892, 43.9425, 5, 0.299599
29, 83.966, 8.56892, 50.4025, 5, 0.31472
30, 58.512, 8.84843, 54.4575, 5, 0.328363
31, 74.35, 9.09968, 55.1025, 5, 0.305767
32, 84.649, 9.37581, 55.84, 5, 0.316743
33, 72.06, 9.57581, 56.4125, 5, 0.344365
34, 60.395, 9.95081, 56.96, 5, 0.369364
35, 79.933, 10.2008, 56.96, 5, 0.357699
36, 73.591, 10.5008, 56.96, 5, 0.370074
37, 85.306, 10.738, 58.0875, 5, 0.433546
38, 69.621, 11.0175, 58.4775, 5, 0.397609
39, 92.836, 11.3425, 59.815, 5, 0.446081
40, 83.205, 11.6713, 60.3675, 5, 0.432747
41, 63.843, 11.8481, 60.89, 5, 0.285147
42, 85.197, 12.1231, 61.7875, 5, 0.381209
43, 59.088, 12.5301, 66.6325, 5, 0.511061
44, 55.254, 12.856, 66.62, 5, 0.428128
45, 73.934, 13.106, 66.595, 5, 0.373427
46, 75.357, 13.431, 66.595, 5, 0.432987
47, 57.62, 13.6823, 66.62, 5, 0.381647
48, 78.576, 14.0073, 66.62, 5, 0.431091
49, 79.186, 14.2585, 66.62, 5, 0.379179
50, 75.93, 14.4647, 66.58, 5, 0.303692
51, 79.77, 14.7221, 66.5775, 5, 0.105001
52, 59.962, 15.0016, 66.5775, 5, 0.250488
53, 76.327, 15.3148, 66.5775, 5, 0.344482
54, 59.245, 15.561, 66.575, 5, 0.366766
55, 59.836, 15.9146, 66.575, 5, 0.323708
56, 89.737, 16.1658, 66.58, 5, 0.399328
57, 56.29, 16.5238, 66.58, 5, 0.334828
58, 56.84, 16.8488, 66.58, 5, 0.329534
59, 81.745, 17.0988, 66.58, 5, 0.369479
60, 77.585, 17.4238, 66.5775, 5, 0.321822
61, 82.183, 17.7238, 66.5525, 5, 0.339149
62, 78.477, 17.9988, 66.5375, 5, 0.347292
63, 58.542, 18.2488, 66.5125, 5, 0.362762
64, 77.844, 18.5988, 66.5125, 5, 0.285418
65, 56.87, 18.8488, 66.5125, 5, 0.367981
66, 79.148, 19.1747, 66.5125, 5, 0.305186
67, 63.244, 19.5506, 66.485, 5, 0.250101
68, 97.331, 19.8794, 66.485, 5, 0.319146
